kommune;szenario;gitter_id;a_anteil;h_m;h_herkunft;quelle_flaeche_url;quelle_tiefe_url;zugriff
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4456900;0.875320;1.9814;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4457000;0.817604;2.3788;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4458500;0.793550;2.8189;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4458600;0.159878;0.5600;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4458700;0.826316;1.3552;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4458800;1.000000;1.5448;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4459000;1.000000;1.4968;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4459100;0.904590;1.4651;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4459200;1.000000;1.2880;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4459300;0.921973;1.8355;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
Halle (Saale);HQhäufig;CRS3035RES100mN3145800E4459400;0.844816;0.9745;karte;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;https://www.geofachdatenserver.de/de/hochwassergefahrenkarte-hq10-download.html;2026-09-17
