kommune;szenario;gitter_id;a_anteil;h_m;h_herkunft;quelle_flaeche_url;quelle_tiefe_url;zugriff
Hitzacker;HQhäufig;CRS3035RES100mN3337300E4393000;1.000000;3.5867;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337300E4393100;1.000000;3.9729;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337300E4393200;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337300E4393300;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392400;0.328469;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392500;0.932958;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392600;1.000000;3.0002;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392700;1.000000;3.2717;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392800;1.000000;3.7992;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4392900;1.000000;3.9089;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4393000;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337400E4393100;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392300;0.165471;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392400;0.962973;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392500;1.000000;3.1071;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392600;1.000000;3.6223;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392700;1.000000;3.9922;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392800;1.000000;3.9869;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337500E4392900;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392200;0.024209;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392300;0.780316;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392400;1.000000;3.3440;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392500;1.000000;3.6623;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392600;1.000000;3.5698;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392700;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337600E4392800;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392200;0.442796;3.0527;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392300;1.000000;3.5773;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392400;1.000000;3.6839;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392500;1.000000;3.6475;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392600;1.000000;3.9991;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337700E4392700;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337800E4392100;0.043526;3.2954;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337800E4392200;0.894502;3.6714;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337800E4392300;1.000000;3.6748;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337800E4392400;1.000000;3.6645;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337800E4392500;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337900E4392100;0.558359;3.7339;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337900E4392200;1.000000;3.6763;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337900E4392300;1.000000;3.9686;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337900E4392400;1.000000;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3338000E4392000;0.405935;3.3021;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3338000E4392100;0.981714;3.9357;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
