bundesland,region,rki_summe,modell_summe,rki_je_100k,modell_je_100k,verhaeltnis_modell_rki,modell_regional_je_100k,verhaeltnis_regional
Schleswig-Holstein,norden,180,654,1.5,5.5,3.64,3.3,2.19
Hamburg,norden,190,613,2.6,8.3,3.23,5.0,1.94
Mecklenburg-Vorpommern,norden,340,688,5.4,10.9,2.02,6.5,1.22
Bremen,norden,160,255,5.7,9.1,1.6,5.5,0.96
Bayern,sueden,3080,2901,5.8,5.5,0.94,9.3,1.59
Niedersachsen,norden,1960,3140,6.1,9.8,1.6,5.9,0.96
Thüringen,osten,560,848,6.6,10.0,1.51,6.9,1.04
Brandenburg,osten,790,1821,7.7,17.8,2.3,12.2,1.58
Sachsen,osten,1340,2270,8.3,14.0,1.69,9.6,1.16
Sachsen-Anhalt,osten,760,1520,8.9,17.7,2.0,12.2,1.37
Berlin,osten,1340,2053,9.1,14.0,1.53,9.6,1.05
Nordrhein-Westfalen,westen,6780,6882,9.4,9.5,1.01,10.1,1.08
Baden-Württemberg,sueden,5760,3203,12.8,7.1,0.56,12.1,0.94
Hessen,westen,3620,2637,14.4,10.5,0.73,11.2,0.77
Saarland,westen,610,760,15.0,18.7,1.25,19.9,1.32
Rheinland-Pfalz,westen,2500,2220,15.2,13.5,0.89,14.3,0.94
