jahr,d_rki,pi_unten,pi_oben,d_mod_unkalibriert,d_mod_kalibriert,abweichung_pct,im_praediktionsintervall
1992,3100,1900,4200,3952,4177,34.7,True
1994,10200,8900,11400,3926,4150,-59.3,False
1995,2900,1900,4000,2437,2576,-11.2,True
1997,1920,1060,2750,2522,2666,38.9,True
1998,900,120,1740,675,713,-20.7,True
2001,2300,1000,3400,1553,1642,-28.6,True
2002,1290,360,2260,2868,3032,135.0,False
2003,10200,8900,11600,9047,9562,-6.3,True
2004,1350,550,2080,1026,1085,-19.6,True
2005,1660,670,2640,902,954,-42.5,True
2006,7700,6700,8800,3496,3695,-52.0,False
2008,1220,190,2140,1850,1956,60.3,True
2010,4090,3160,5090,2662,2814,-31.2,False
2012,1200,100,2400,1248,1319,9.9,True
2013,3500,2400,4600,2271,2401,-31.4,True
2014,1400,200,2400,1376,1454,3.9,True
2015,7000,5600,8100,3805,4022,-42.5,False
2016,1600,100,2700,2474,2615,63.5,True
2017,1400,540,2150,2735,2891,106.5,False
2018,8500,7100,10100,7467,7893,-7.1,True
2019,6800,5400,8300,7161,7569,11.3,True
2020,3700,2500,5000,3640,3847,4.0,True
2021,1700,700,2800,2903,3069,80.5,False
2022,4500,3100,6000,7054,7456,65.7,False
2023,3100,1300,4600,4318,4564,47.2,True
2024,2800,1200,4400,4083,4316,54.1,True
2025,2500,1200,3700,3741,3954,58.2,False
